proper_name,ticker,metric,fin_quarter_end,report_date,reported_sales
"Copart, Inc.",CPRT,SALES,2020-10-31,2020-11-24,525.659
"Copart, Inc.",CPRT,SALES,2020-07-31,2020-09-03,525.659
"Copart, Inc.",CPRT,SALES,2015-01-31,2015-02-25,276.258
"Copart, Inc.",CPRT,SALES,2015-04-30,2015-05-28,297.142
"Copart, Inc.",CPRT,SALES,2015-07-31,2015-09-23,282.293
"Copart, Inc.",CPRT,SALES,2015-10-31,2015-11-24,288.838
"Copart, Inc.",CPRT,SALES,2016-01-31,2016-02-24,299.706
"Copart, Inc.",CPRT,SALES,2016-04-30,2016-05-26,347.246
"Copart, Inc.",CPRT,SALES,2016-10-31,2016-11-22,345.991
"Copart, Inc.",CPRT,SALES,2017-01-31,2017-02-22,349.532
"Copart, Inc.",CPRT,SALES,2017-04-30,2017-05-25,373.862
"Copart, Inc.",CPRT,SALES,2017-07-31,2017-09-20,378.596
"Copart, Inc.",CPRT,SALES,2016-07-31,2016-09-21,332.659
"Copart, Inc.",CPRT,SALES,2018-01-31,2018-02-26,459.106
"Copart, Inc.",CPRT,SALES,2017-10-31,2017-11-22,419.168
"Copart, Inc.",CPRT,SALES,2020-01-31,2020-02-20,575.14
"Copart, Inc.",CPRT,SALES,2019-10-31,2019-11-21,554.424
"Copart, Inc.",CPRT,SALES,2019-07-31,2019-09-05,542.575
"Copart, Inc.",CPRT,SALES,2019-04-30,2019-05-23,553.116
"Copart, Inc.",CPRT,SALES,2020-04-30,2020-05-21,550.36
"Copart, Inc.",CPRT,SALES,2018-10-31,2018-11-21,461.368
"Copart, Inc.",CPRT,SALES,2018-07-31,2018-09-19,449.223
"Copart, Inc.",CPRT,SALES,2018-04-30,2018-05-24,478.198
"Copart, Inc.",CPRT,SALES,2019-01-31,2019-02-21,484.898
"Murphy USA, Inc.",MUSA,SALES,2017-12-31,2018-02-01,3379.52
"Murphy USA, Inc.",MUSA,SALES,2015-03-31,2015-05-04,2962.51
"Murphy USA, Inc.",MUSA,SALES,2015-06-30,2015-08-06,3517.22
"Murphy USA, Inc.",MUSA,SALES,2015-09-30,2015-11-04,3382.5
"Murphy USA, Inc.",MUSA,SALES,2015-12-31,2016-02-04,2928.15
"Murphy USA, Inc.",MUSA,SALES,2016-09-30,2016-11-03,3042.73
"Murphy USA, Inc.",MUSA,SALES,2017-03-31,2017-05-02,2999.61
"Murphy USA, Inc.",MUSA,SALES,2017-06-30,2017-08-03,3211.06
"Murphy USA, Inc.",MUSA,SALES,2017-09-30,2017-11-02,3236.35
"Murphy USA, Inc.",MUSA,SALES,2018-03-31,2018-05-02,3244.2
"Murphy USA, Inc.",MUSA,SALES,2016-12-31,2017-02-02,3055.77
"Murphy USA, Inc.",MUSA,SALES,2018-09-30,2018-11-01,3788.0
"Murphy USA, Inc.",MUSA,SALES,2019-03-31,2019-04-30,3116.4
"Murphy USA, Inc.",MUSA,SALES,2018-12-31,2019-01-31,3501.7
"Murphy USA, Inc.",MUSA,SALES,2016-06-30,2016-08-03,3005.76
"Murphy USA, Inc.",MUSA,SALES,2020-09-30,2020-10-28,2379.6
"Murphy USA, Inc.",MUSA,SALES,2020-06-30,2020-07-21,2379.6
"Murphy USA, Inc.",MUSA,SALES,2016-03-31,2016-05-09,2490.26
"Murphy USA, Inc.",MUSA,SALES,2020-03-31,2020-04-17,3184.8
"Murphy USA, Inc.",MUSA,SALES,2019-12-31,2020-01-30,3460.2
"Murphy USA, Inc.",MUSA,SALES,2019-09-30,2019-10-31,3657.6
"Murphy USA, Inc.",MUSA,SALES,2019-06-30,2019-08-01,3800.4
"Murphy USA, Inc.",MUSA,SALES,2018-06-30,2018-08-02,3829.0
Regis Corp.,RGS,SALES,2020-09-30,2020-11-03,153.783
Regis Corp.,RGS,SALES,2019-12-31,2020-02-04,208.765
Regis Corp.,RGS,SALES,2020-03-31,2020-06-18,153.783
Regis Corp.,RGS,SALES,2020-06-30,2020-08-31,60.143
Regis Corp.,RGS,SALES,2020-09-30,2020-11-03,60.143
Regis Corp.,RGS,SALES,2015-12-31,2016-01-28,450.5
Regis Corp.,RGS,SALES,2015-06-30,2015-08-28,462.889
Regis Corp.,RGS,SALES,2015-09-30,2015-10-29,450.13
Regis Corp.,RGS,SALES,2019-09-30,2019-10-29,247.038
Regis Corp.,RGS,SALES,2016-03-31,2016-04-28,442.565
Regis Corp.,RGS,SALES,2017-03-31,2017-05-04,412.603
Regis Corp.,RGS,SALES,2015-03-31,2015-04-30,453.96
Regis Corp.,RGS,SALES,2019-06-30,2019-08-27,248.19
Regis Corp.,RGS,SALES,2018-09-30,2018-10-30,287.835
Regis Corp.,RGS,SALES,2018-12-31,2019-01-29,274.671
Regis Corp.,RGS,SALES,2018-06-30,2018-08-21,294.885
Regis Corp.,RGS,SALES,2018-03-31,2018-05-01,298.74
Regis Corp.,RGS,SALES,2017-09-30,2017-10-31,309.873
Regis Corp.,RGS,SALES,2017-12-31,2018-02-01,308.515
Regis Corp.,RGS,SALES,2017-06-30,2017-08-23,424.2
Regis Corp.,RGS,SALES,2016-06-30,2016-08-23,447.707
Regis Corp.,RGS,SALES,2016-12-31,2017-02-03,424.043
Regis Corp.,RGS,SALES,2016-09-30,2016-10-27,431.042
Regis Corp.,RGS,SALES,2019-03-31,2019-04-30,258.343
"Sally Beauty Holdings, Inc.",SBH,SALES,2017-06-30,2017-08-03,998.043
"Sally Beauty Holdings, Inc.",SBH,SALES,2017-03-31,2017-05-04,966.47
"Sally Beauty Holdings, Inc.",SBH,SALES,2016-12-31,2017-02-02,999.609
"Sally Beauty Holdings, Inc.",SBH,SALES,2016-09-30,2016-11-15,976.358
"Sally Beauty Holdings, Inc.",SBH,SALES,2015-12-31,2016-02-04,998.032
"Sally Beauty Holdings, Inc.",SBH,SALES,2016-03-31,2016-05-05,980.067
"Sally Beauty Holdings, Inc.",SBH,SALES,2017-09-30,2017-11-15,974.195
"Sally Beauty Holdings, Inc.",SBH,SALES,2015-09-30,2015-11-12,964.23
"Sally Beauty Holdings, Inc.",SBH,SALES,2016-06-30,2016-08-04,998.161
"Sally Beauty Holdings, Inc.",SBH,SALES,2017-12-31,2018-02-08,994.964
"Sally Beauty Holdings, Inc.",SBH,SALES,2020-09-30,2020-11-12,705.287
"Sally Beauty Holdings, Inc.",SBH,SALES,2018-06-30,2018-08-02,996.283
"Sally Beauty Holdings, Inc.",SBH,SALES,2018-09-30,2018-11-08,965.997
"Sally Beauty Holdings, Inc.",SBH,SALES,2018-12-31,2019-02-05,989.453
"Sally Beauty Holdings, Inc.",SBH,SALES,2019-03-31,2019-05-01,945.852
"Sally Beauty Holdings, Inc.",SBH,SALES,2019-06-30,2019-07-31,975.169
"Sally Beauty Holdings, Inc.",SBH,SALES,2019-09-30,2019-11-07,965.937
"Sally Beauty Holdings, Inc.",SBH,SALES,2019-12-31,2020-02-06,980.208
"Sally Beauty Holdings, Inc.",SBH,SALES,2020-03-31,2020-05-06,871.023
"Sally Beauty Holdings, Inc.",SBH,SALES,2020-09-30,2020-11-12,871.023
"Sally Beauty Holdings, Inc.",SBH,SALES,2015-06-30,2015-08-06,967.89
"Sally Beauty Holdings, Inc.",SBH,SALES,2018-03-31,2018-05-03,975.321
"Sally Beauty Holdings, Inc.",SBH,SALES,2015-03-31,2015-05-05,937.755
"Sally Beauty Holdings, Inc.",SBH,SALES,2020-06-30,2020-07-30,705.287
"Sprouts Farmers Markets, Inc.",SFM,SALES,2020-03-31,2020-05-06,1646.539
"Sprouts Farmers Markets, Inc.",SFM,SALES,2019-12-31,2020-02-21,1364.991
"Sprouts Farmers Markets, Inc.",SFM,SALES,2020-09-30,2020-10-29,1642.788
"Sprouts Farmers Markets, Inc.",SFM,SALES,2020-06-30,2020-07-30,1642.788
"Sprouts Farmers Markets, Inc.",SFM,SALES,2015-03-31,2015-05-08,857.506
"Sprouts Farmers Markets, Inc.",SFM,SALES,2015-06-30,2015-08-07,902.153
"Sprouts Farmers Markets, Inc.",SFM,SALES,2015-09-30,2015-11-05,903.069
"Sprouts Farmers Markets, Inc.",SFM,SALES,2016-03-31,2016-05-05,993.241
"Sprouts Farmers Markets, Inc.",SFM,SALES,2016-06-30,2016-08-04,1031.64
"Sprouts Farmers Markets, Inc.",SFM,SALES,2016-09-30,2016-11-03,1035.8
"Sprouts Farmers Markets, Inc.",SFM,SALES,2016-12-31,2017-02-23,985.7
"Sprouts Farmers Markets, Inc.",SFM,SALES,2015-12-31,2016-02-25,930.303
"Sprouts Farmers Markets, Inc.",SFM,SALES,2017-06-30,2017-08-03,1183.97
"Sprouts Farmers Markets, Inc.",SFM,SALES,2017-03-31,2017-05-04,1130.64
"Sprouts Farmers Markets, Inc.",SFM,SALES,2019-06-30,2019-08-01,1415.736
"Sprouts Farmers Markets, Inc.",SFM,SALES,2019-03-31,2019-05-02,1413.887
"Sprouts Farmers Markets, Inc.",SFM,SALES,2018-12-31,2019-02-21,1269.33
"Sprouts Farmers Markets, Inc.",SFM,SALES,2018-09-30,2018-11-01,1329.1
"Sprouts Farmers Markets, Inc.",SFM,SALES,2019-09-30,2019-10-31,1440.222
"Sprouts Farmers Markets, Inc.",SFM,SALES,2018-03-31,2018-05-03,1287.19
"Sprouts Farmers Markets, Inc.",SFM,SALES,2017-12-31,2018-02-22,1143.93
"Sprouts Farmers Markets, Inc.",SFM,SALES,2017-09-30,2017-11-02,1206.05
"Sprouts Farmers Markets, Inc.",SFM,SALES,2018-06-30,2018-08-02,1321.69
"Stamps.com, Inc.",STMP,SALES,2017-09-30,2017-11-03,115.1
"Stamps.com, Inc.",STMP,SALES,2015-06-30,2015-08-07,48.36
"Stamps.com, Inc.",STMP,SALES,2015-09-30,2015-11-06,51.669
"Stamps.com, Inc.",STMP,SALES,2015-12-31,2016-02-26,69.876
"Stamps.com, Inc.",STMP,SALES,2016-03-31,2016-05-10,81.837
"Stamps.com, Inc.",STMP,SALES,2016-06-30,2016-07-29,84.013
"Stamps.com, Inc.",STMP,SALES,2016-09-30,2016-11-04,92.559
"Stamps.com, Inc.",STMP,SALES,2016-12-31,2017-02-24,105.896
"Stamps.com, Inc.",STMP,SALES,2017-03-31,2017-05-04,105.04
"Stamps.com, Inc.",STMP,SALES,2017-06-30,2017-08-03,116.14
"Stamps.com, Inc.",STMP,SALES,2017-12-31,2018-02-22,132.467
"Stamps.com, Inc.",STMP,SALES,2015-03-31,2015-05-08,44.052
"Stamps.com, Inc.",STMP,SALES,2018-06-30,2018-08-02,139.627
"Stamps.com, Inc.",STMP,SALES,2018-09-30,2018-11-01,143.507
"Stamps.com, Inc.",STMP,SALES,2018-12-31,2019-02-22,170.2
"Stamps.com, Inc.",STMP,SALES,2019-12-31,2020-02-20,160.902
"Stamps.com, Inc.",STMP,SALES,2020-03-31,2020-05-08,151.346
"Stamps.com, Inc.",STMP,SALES,2020-06-30,2020-08-07,206.73
"Stamps.com, Inc.",STMP,SALES,2020-09-30,2020-10-29,151.346
"Stamps.com, Inc.",STMP,SALES,2019-03-31,2019-05-09,136.0
"Stamps.com, Inc.",STMP,SALES,2019-06-30,2019-08-08,138.773
"Stamps.com, Inc.",STMP,SALES,2019-09-30,2019-11-08,136.172
"Stamps.com, Inc.",STMP,SALES,2020-09-30,2020-10-29,206.73
"Stamps.com, Inc.",STMP,SALES,2018-03-31,2018-05-04,133.565
"Stanley Black & Decker, Inc.",SWK,SALES,2017-06-30,2017-07-24,3229.5
"Stanley Black & Decker, Inc.",SWK,SALES,2017-03-31,2017-04-21,2805.6
"Stanley Black & Decker, Inc.",SWK,SALES,2016-12-31,2017-01-26,2920.4
