review|sentiment
it is so much better than the one it replaced and quiet|Positive
"So far I think it is a good purchase. I haven't used it too much yet, but I think it will help in cooling down the small hangar I rent. It takes a few hours for the ""new"" smell to stabilize, and reading the directions I realized that I am not running it on the fan only position for 30 minutes after use, but that's kind of inconvenient!"|Positive
It doesn't match on advertise, it just work as a fan, a expensive fan.|Negative
Works like a charm.|Positive
This grill cover was perfect and easy to snap on|Positive
Best bang for your buck. Just unpack install casters fill with water and ready to cool you down. Would recommend this to anyone. Really moves cool air around keeps you nice and cool in hot summer days.|Positive
Only used the cooler for a couple of weeks, but it's still working without issues. It's pretty quiet and puts out a lot of air. The only concern is there is no way to tell if your manually overfilling the water. Should be some way to indicate the max. Greg|Positive
Rating provided by a verified purchaser|Positive
"I've only had this product a short time and so far all is great with it. The fan alone cooled my living area right down during a recent very hot day. I have used evaporative coolers before with a lot of success so I""m hoping that this one provides the relief I need from what should be a very hot summer for a reasonable price."|Positive
This cooler is a great product. One does have to remember that it isn’t an AC, the temperature of the air is dictated by the temperature of the water you’re running through it. Obviously, if you keep it in the shade and run cold water, you’ll have the equivalent of an AC. The power louvers are a great feature. Instead of a “one lane draft” that cools/humidifies one side of the room while depending on separate fans or air exchange to catch up to the other half, the louvers help considerably to widen air flow path. The water tank is a good capacity for the size of the unit. The casters make it easier to move with a full water tank. A 600 sq ft capacity isn’t bad at all for the size of the unit. I would suggest multiple smaller units such as this one, for individual work areas, against one of the larger units that can cost upwards of $2000. I would suggest this cooler for anyone with a shop that they use in sections. For example, an 80’x50’ shop is 4,000 sq ft. If you use half of the shop for parking a boat & camper or toys, but only use the other half, 2,000 sq ft, for projects you can easily use 3 of these to place in different spots for just over $1,000, versus a larger port-a-cool that would cost twice that. Overall, a great product for home or work, for a good price.|Positive
Love It !|Positive
It leaked water on my wood floor!|Negative
Made in China, first one did not work. Second one worked as it should. Will see how it lasts.|Positive
Made the room hot. Not worth it!! Just get a normal fan, or spend the money on a portable AC.|Negative
Happy with this product, especially for the price. I live in a small house and it does what I need. The only assembly was to put the wheels on. Yay. I recommended this product to friend and she bought one also.|Positive
This has been great in my garage while working on cars or other projects. Also recently used on patio while grilling in the Arizona heat. Great value|Positive
Evaporate cooler works great for my 24x36 workshop. Goes through 2.5 gallons of water per hour. I'm happy with it and would recommend to others.|Positive
Simple, sale and efficient. Highly recommend over other such as the Honeywell. It’s doesn’t have any frills like remote, auto swing, or timer.|Positive
It filled my needs|Positive
I do not recommend this product! It does not cool as the description states and it leaked water all over my new carpet. Two thumbs down!|Negative
