source_region,destination_region,passengers,bookings,rpk,month
Africa : Southern Africa,Asia : North East Asia,27897,12085,341804033.0,2012-09-01
Latin America : Caribbean,Africa : North Africa,253,152,2378479.0,2012-08-01
Europe : Eastern/Central Europe,Latin America : Upper South America,5960,2347,64370033.0,2012-01-01
Africa : Eastern Africa,Africa : North Africa,23354,9756,51630376.0,2012-04-01
Europe : Eastern/Central Europe,Asia : South Asia,40228,25206,231905978.0,2012-11-01
Europe : Eastern/Central Europe,Asia : Central Asia,176751,36590,511804897.0,2012-03-01
Latin America : Caribbean,Asia : South East Asia,720,1683,12551720.0,2012-02-01
Africa : Central/Western Africa,Africa : North Africa,25024,15710,93320502.0,2012-03-01
Latin America : Central America,Latin America : Upper South America,99408,62583,218172190.0,2012-03-01
Asia : North East Asia,Latin America : Upper South America,6651,4527,111212450.0,2012-01-01
Asia : South Asia,Southwest Pacific,46563,33288,464339350.0,2012-08-01
North America,Africa : Southern Africa,22259,16059,333196830.0,2012-02-01
Middle East,Asia : South East Asia,275837,210475,1918269914.0,2012-12-01
Asia : South Asia,Europe : Western Europe,387171,256057,2787700014.0,2012-10-01
Latin America : Caribbean,Asia : South East Asia,726,1367,12430671.0,2012-06-01
Africa : Central/Western Africa,Africa : North Africa,34033,18835,121839177.0,2012-07-01
Asia : North East Asia,Asia : North East Asia,35588549,748943,40894040035.0,2012-08-01
Middle East,Africa : Southern Africa,23299,13516,154105457.0,2012-09-01
Latin America : Central America,Southwest Pacific,1013,882,14657392.0,2012-06-01
Asia : South East Asia,Asia : South East Asia,12181424,773682,10816762675.0,2012-06-01
Africa : Southern Africa,Asia : South Asia,25331,24123,206104515.0,2012-12-01
Asia : Central Asia,Africa : Southern Africa,122,115,1408430.0,2012-04-01
Latin America : Upper South America,Africa : Eastern Africa,133,188,2105693.0,2012-10-01
Europe : Eastern/Central Europe,Latin America : Lower South America,8990,8536,104193688.0,2012-10-01
Asia : South East Asia,Africa : Southern Africa,11957,10694,128462069.0,2012-10-01
Europe : Eastern/Central Europe,Europe : Western Europe,2129702,727279,3227478510.0,2012-02-01
Asia : Central Asia,Southwest Pacific,231,186,2901636.0,2012-06-01
Africa : North Africa,Africa : Central/Western Africa,25723,14445,94852870.0,2012-01-01
Europe : Western Europe,Asia : Central Asia,61764,23521,266616056.0,2012-01-01
Africa : Southern Africa,Southwest Pacific,11965,7597,146055020.0,2012-03-01
Europe : Eastern/Central Europe,Latin America : Central America,6039,3763,62883812.0,2012-05-01
Middle East,Africa : Southern Africa,25720,15434,173082158.0,2012-05-01
Asia : North East Asia,Asia : Central Asia,77641,11676,217784772.0,2012-09-01
Middle East,Latin America : Upper South America,4405,4572,53110044.0,2012-08-01
Africa : Central/Western Africa,Asia : North East Asia,15379,9305,187619759.0,2012-05-01
Southwest Pacific,Europe : Western Europe,146240,144310,2276659629.0,2012-04-01
Europe : Eastern/Central Europe,Africa : Southern Africa,4979,3877,47811937.0,2012-02-01
Latin America : Central America,Europe : Eastern/Central Europe,7430,4911,75793365.0,2012-03-01
North America,Africa : Eastern Africa,31571,31244,417870372.0,2012-07-01
Southwest Pacific,Africa : Central/Western Africa,1118,985,18410225.0,2012-11-01
Asia : South East Asia,Africa : Central/Western Africa,6087,5012,71392776.0,2012-10-01
Latin America : Upper South America,Middle East,3421,3035,42093406.0,2012-11-01
Latin America : Lower South America,Africa : Eastern Africa,607,674,7492503.0,2012-10-01
Middle East,Latin America : Central America,3773,3591,47848233.0,2012-07-01
Asia : South Asia,North America,190461,199363,2583364305.0,2012-05-01
Asia : Central Asia,Middle East,25273,5921,72410319.0,2012-01-01
Southwest Pacific,Africa : Southern Africa,17141,12116,231838530.0,2012-12-01
Africa : North Africa,Southwest Pacific,2611,2221,38629454.0,2012-01-01
Africa : Eastern Africa,Middle East,87044,54951,245732887.0,2012-05-01
Europe : Eastern/Central Europe,Europe : Eastern/Central Europe,1815162,570743,2018836515.0,2012-01-01
Europe : Eastern/Central Europe,Latin America : Lower South America,8898,7003,106312677.0,2012-12-01
Africa : North Africa,Middle East,448580,194453,912761227.0,2012-03-01
North America,Europe : Western Europe,1424555,766422,10283321449.0,2012-01-01
Europe : Western Europe,Europe : Eastern/Central Europe,2143290,731916,3217971080.0,2012-02-01
Middle East,Latin America : Caribbean,1973,1298,22953303.0,2012-09-01
Europe : Eastern/Central Europe,Africa : Central/Western Africa,7981,4496,51145418.0,2012-06-01
Europe : Western Europe,North America,1816398,1107832,13053521347.0,2012-04-01
Africa : Southern Africa,Latin America : Caribbean,1027,599,12404334.0,2012-02-01
Middle East,Latin America : Lower South America,12544,9716,151601525.0,2012-06-01
Asia : South East Asia,Africa : Central/Western Africa,7194,4396,78600539.0,2012-06-01
Southwest Pacific,Africa : Southern Africa,12184,5453,143626868.0,2012-10-01
Asia : South Asia,Africa : Eastern Africa,26615,18089,144659219.0,2012-08-01
Africa : North Africa,Southwest Pacific,1977,1716,29223344.0,2012-09-01
North America,Europe : Western Europe,2389137,1442331,17321140000.0,2012-08-01
Asia : South East Asia,Europe : Western Europe,408076,303030,4181072382.0,2012-05-01
Latin America : Central America,North America,1317929,599605,3667323345.0,2012-12-01
Europe : Western Europe,Asia : North East Asia,642355,274460,5916720350.0,2012-01-01
Asia : South East Asia,Europe : Eastern/Central Europe,53985,31494,456878983.0,2012-09-01
Africa : Eastern Africa,Latin America : Lower South America,464,448,6328448.0,2012-05-01
Africa : Eastern Africa,Asia : North East Asia,19803,10128,179815720.0,2012-03-01
Middle East,Latin America : Caribbean,1606,806,18865004.0,2012-05-01
Asia : Central Asia,Latin America : Upper South America,119,20,1689915.0,2012-04-01
