date,etf,sector,mkt_cap,mkt_price,rel_norm_price_to_book
1998-12-22,XLB,Materials,10.4141,20.8281,
1998-12-22,XLE,Energy,48.8578,23.2656,
1998-12-22,XLF,Financials,61.7781,18.9302,
1998-12-22,XLI,Industrials,16.2969,23.2813,
1998-12-22,XLK,Information technology,153.8251,32.0469,
1998-12-22,XLP,Consumer staples,71.55,26.5,
1998-12-22,XLU,Utilities,50.7078,29.8281,
1998-12-22,XLV,Healthcare,38.7985,25.0313,
1998-12-22,XLY,Consumer discretionary,17.8282,25.4688,
1998-12-23,XLB,Materials,10.5235,21.0469,
1998-12-23,XLE,Energy,49.875,23.75,
1998-12-23,XLF,Financials,62.6892,19.2093,
1998-12-23,XLI,Industrials,16.5813,23.6875,
1998-12-23,XLK,Information technology,157.5,32.8125,
1998-12-23,XLP,Consumer staples,73.2796,27.1406,
1998-12-23,XLU,Utilities,50.4953,29.7031,
1998-12-23,XLV,Healthcare,39.6704,25.5938,
1998-12-23,XLY,Consumer discretionary,17.9047,25.5781,
1998-12-24,XLB,Materials,10.7657,21.5313,
1998-12-24,XLE,Energy,49.6125,23.625,
1998-12-24,XLF,Financials,63.1031,19.3362,
1998-12-24,XLI,Industrials,16.8,24.0,
1998-12-24,XLK,Information technology,156.9,32.6875,
1998-12-24,XLP,Consumer staples,73.1533,27.0938,
1998-12-24,XLU,Utilities,51.425,30.25,
1998-12-24,XLV,Healthcare,39.9125,25.75,
1998-12-24,XLY,Consumer discretionary,18.2328,26.0469,
1998-12-28,XLB,Materials,10.6719,21.3438,
1998-12-28,XLE,Energy,49.35,23.5,
1998-12-28,XLF,Financials,62.275,19.0824,
1998-12-28,XLI,Industrials,16.8875,24.125,
1998-12-28,XLK,Information technology,157.3502,32.7813,
1998-12-28,XLP,Consumer staples,75.425,26.9375,
1998-12-28,XLU,Utilities,51.1595,30.0938,
1998-12-28,XLV,Healthcare,39.3313,25.375,
1998-12-28,XLY,Consumer discretionary,18.0688,25.8125,
1998-12-29,XLB,Materials,10.8672,21.7344,
1998-12-29,XLE,Energy,49.8422,23.7344,
1998-12-29,XLF,Financials,62.9375,19.2854,
1998-12-29,XLI,Industrials,17.1282,24.4688,
1998-12-29,XLK,Information technology,157.8,32.875,
1998-12-29,XLP,Consumer staples,78.4642,27.5313,
1998-12-29,XLU,Utilities,52.0095,30.5938,
1998-12-29,XLV,Healthcare,40.2031,25.9375,
1998-12-29,XLY,Consumer discretionary,18.4625,26.375,
1998-12-30,XLB,Materials,10.836,21.6719,
1998-12-30,XLE,Energy,49.0875,23.375,
1998-12-30,XLF,Financials,62.6892,19.2093,
1998-12-30,XLI,Industrials,17.0516,24.3594,
1998-12-30,XLK,Information technology,157.2,32.75,
1998-12-30,XLP,Consumer staples,77.9743,27.3594,
1998-12-30,XLU,Utilities,51.5845,30.3438,
1998-12-30,XLV,Healthcare,39.8641,25.7188,
1998-12-30,XLY,Consumer discretionary,18.3094,26.1563,
1998-12-31,XLB,Materials,10.961,21.9219,
1998-12-31,XLE,Energy,49.022,23.3438,
1998-12-31,XLF,Financials,65.625,19.0317,
